GENE.ID	log2FC	RAW.PVAL	ADJ.PVAL
ENSG00000261553	-0.59492300450188	NA	NA
ENSG00000078018	1.48917666367478	NA	NA
ENSG00000186191	2.61862759177581	NA	NA
ENSG00000168995	0.00679127701128705	0.990101235593005	0.990101235593005
ENSG00000151967	-0.0147512049109485	0.98765619987635	0.990101235593005
ENSG00000224597	-0.0675072083137065	0.980902111309518	0.9880100976233551
ENSG00000047932	-0.0458491127946166	0.979636902950529	0.9880100976233551
ENSG00000163359	-0.00530224965266882	0.963806385616767	0.9778765518301504
ENSG00000204179	-0.0351442826177454	0.956713671122599	0.9742358995314377
ENSG00000228224	0.127353616890931	0.947292919479131	0.9681890868205824
ENSG00000180116	-0.00644836663617745	0.943498259346945	0.9678690630939141
ENSG00000273020	0.114179067916844	0.9425848491704	0.9678690630939141
ENSG00000078319	-0.11197609027826	0.9407180227886	0.9678690630939141
ENSG00000111785	-0.00834733774379191	0.934301098018967	0.9678690630939141
ENSG00000249209	0.0458538108663972	0.931582493167083	0.9678690630939141
ENSG00000231686	-0.00914082261047506	0.928708768180834	0.9678690630939141
ENSG00000140009	-0.0562780975957704	0.916538760712	0.9615010395393812
ENSG00000258969	-0.0663537426001768	0.911837065981202	0.9601920619044475
ENSG00000185811	0.0109210557745441	0.905736209733246	0.957394168463279
ENSG00000138039	0.0136693451595385	0.903740088712836	0.957394168463279
ENSG00000132669	-0.0651957616236283	0.902544372997146	0.957394168463279
ENSG00000262666	0.0434752055148375	0.895105946208191	0.9570748194072195
ENSG00000184206	0.241453183551534	0.89421459110952	0.9570748194072195
ENSG00000054654	0.0144190150125181	0.891825068618161	0.9570748194072195
ENSG00000166169	-0.0154111584247374	0.886430112960644	0.9570748194072195
ENSG00000148840	0.0827332015787184	0.881635965093958	0.9570748194072195
ENSG00000182957	0.259102877182677	0.881099918889348	0.9570748194072195
ENSG00000115561	-0.0202908931707428	0.879138750692691	0.9570748194072195
ENSG00000108423	0.0793496465970573	0.877993813258502	0.9570748194072195
ENSG00000162946	-0.0949387723381135	0.869725616192299	0.9570748194072195
ENSG00000082996	0.102582203449608	0.86231305646823	0.9550718314668044
